#separator:tab
#html:true
#guid column:1
#notetype column:2
#tags column:15
BD:]KZwM7D	Universal German word template	reinpassen	подходить, вмещаться	"<ul><li><div><strong class=""spoiler"">passen</strong>&nbsp;– Это самое общее слово из перечисленных, означающее ""подходить"" или ""соответствовать"". Оно может использоваться в различных контекстах, например, чтобы сказать, что одежда подходит по размеру, или что планы соответствуют вашим возможностям. Пример: ""Die Jeans passt mir gut"" (Эти джинсы мне хорошо подходят).</div></li><li><div><span class=""spoiler""><strong>reinpassen</strong>&nbsp;и&nbsp;<strong>hereinpassen</strong></span>&nbsp;– Эти слова являются вариациями слова ""passen"", но с добавлением префиксов ""rein-"" и ""herein-"", указывающих на направление движения (внутрь). ""Reinpassen"" используется для описания ситуации, когда что-то помещается внутрь чего-то, как правило, в пространственном смысле. Пример: ""Der Schlüssel passt nicht in das Schloss rein"" (Ключ не подходит к этому замку). ""Hereinpassen"" тоже указывает на то, что что-то помещается или подходит внутрь, но чаще используется, когда речь идет о входе в здание или комнату. Пример: ""Wie viele Leute passen in diesen Raum herein?"" (Сколько людей поместится в эту комнату?).<br></div></li></ul>"						Das passt nicht in die Schublade rein.	Это не помещается в ящик.	Ich glaube, die Schuhe passen nicht in meinen Koffer rein.	Думаю, эти туфли не поместятся в мой чемодан.			chatgpt
yLE4t]TOyt	Universal German word template	rechtlich	правовой, юридический, законный							Er ist der rechtliche Vormund des Kindes.	Он является законным опекуном ребенка.	Rechtliche Schritte gegen den Verlag wurden eingeleitet.	Были предприняты законные шаги против издательства.	Die rechtliche Lage ist in diesem Fall sehr kompliziert.	Правовая ситуация в данном случае очень сложная.	chatgpt
JHMd>koZ9/	Universal German word template	ruhig	спокойный, тихий, безмятежный							Ich möchte ein ruhiges Zimmer.	Я хочу тихую комнату.	Du kannst ruhig hier sitzen.	Ты можешь спокойно здесь сидеть.	Es ist hier sehr ruhig.	Здесь очень тихо.	A1 chatgpt
IU@}kPtvZL	Universal German word template	regnen	идти (о дожде)				regnet	haben geregnet	regnete	Heute regnet es.	Сегодня идет дождь.	<div>Es regnet in Strömen.</div>	Льёт как из ведра.			A1 chatgpt
eTVNarXC2J	Universal German word template	Räuber	грабитель, разбойник		der	Räuber				Der Räuber entkam mit der Beute.	Разбойник сбежал с добычей.	Die Kinder spielen Räuber und Gendarm.	Дети играют в разбойников и полицейских.			chatgpt
"m?9%Z8+n#C"	Universal German word template	Regel	правило		die	Regeln				Die Ausnahme bestätigt die Regel.	Исключение подтверждает правило.	Nach der Regel müssten wir jetzt eine Pause machen.	Согласно правилу, мы должны сейчас сделать перерыв.			chatgpt
b=~Ft5Q4)2	Universal German word template	reparieren	ремонтировать	Syn: renovieren			repariert	haben repariert	reparierte	Ich muss mein Auto reparieren lassen, es startet nicht mehr.	Мне нужно отремонтировать мою машину, она больше не заводится.	Kannst du bitte den kaputten Stuhl reparieren?	Ты не мог бы починить сломанный стул?	Er hat das Fahrrad repariert.	Он починил велосипед.	chatgpt
q2>>7D~)j(	Universal German word template	reisen	путешествовать				reist	sein gereist	reiste	Ich reise gern.	Мне нравится путешествовать.	Wir reisen nach Italien.	Мы путешествуем в Италию.	Ich reise mit dem Zug.	Я путешествую на поезде.	A1 chatgpt
B;%4T(qDI1	Universal German word template	reinigen	чистить	"<strong class=""spoiler"">Reinigen</strong>: Это более общий термин, который означает ""очищать"" или ""чистить"" и может применяться в различных ситуациях, от бытовых до промышленных. Он может включать в себя различные методы очистки, не обязательно с использованием воды.<br><br><strong class=""spoiler"">Waschen</strong>: Это слово чаще всего используется в контексте чистки с использованием воды и часто связано с бытовыми задачами, такими как стирка одежды, мытьё посуды или личная гигиена. Синонимы: abwaschen (в контексте посуды), spülen (также в контексте посуды)<br><br><div>  </div><b class=""spoiler""><span style=""font-size: 20px;"">Säubern</span>:&nbsp;</b>Этот термин обычно используется для обозначения более тщательной или интенсивной чистки.<br><br><b class=""spoiler"">Putzen:&nbsp;</b> Этот термин наиболее часто используется в бытовом контексте и обычно связан с рутинными задачами по уборке, например, ""Fenster putzen"" (мыть окна) или ""Zähne putzen"" (чистить зубы).<br>"						Ich muss meinen Teppich reinigen.	Мне нужно почистить свой ковёр.	Du solltest deine Hände vor dem Essen reinigen.	Ты должен помыть руки перед едой.			chatgpt
N6r1gm[}vB	Universal German word template	reagieren	реагировать				reagiert	haben reagiert	reagierte	Ich weiß noch nicht, wie ich darauf reagieren soll.	Я еще не знаю, как мне на это реагировать.	Die Aktienmärkte reagierten sofort auf die Nachrichten.	Фондовые рынки немедленно отреагировали на новости.			chatgpt
QpNsc&{(gS	Universal German word template	renommiert	авторитетный, престижный, известный							Die Universität Heidelberg ist eine renommierte Bildungseinrichtung in Deutschland.	Университет Гейдельберга - престижное учебное заведение в Германии.	Der Wissenschaftler erhielt eine Auszeichnung von einem renommierten Forschungsinstitut.	Ученый получил награду от известного исследовательского института.			chatgpt
"h!k0ws~#V;"	Universal German word template	Rest	<ul><li>остаток</li><li>перерыв</li></ul>		der	Reste				Ich habe noch einen Rest Suppe im Kühlschrank.	У меня ещё осталось немного супа в холодильнике.	Der Rest des Geldes ist für dich.	Остаток денег – для тебя.			chatgpt
h?ahtpNj?)	Universal German word template	Reiz	<ul><li>привлекательность, очарование</li><li>стимул, раздражитель</li></ul>		der	Reize				Ihr Lächeln hat einen gewissen Reiz.	Её улыбка обладает неким очарованием.	Er konnte dem Reiz des Spiels nicht widerstehen.	Он не смог устоять перед соблазном игры.			chatgpt
hoiZe3a>E.	Universal German word template	Rausch	<ul><li>опьянение</li><li>экстаз, восторг, возбуждение</li></ul>		der	Räusche				Der Rausch des Sieges war überwältigend.	Опьянение от победы было ошеломляющим.	Der starke Alkohol führte zu einem tiefen Rausch.	Сильный алкоголь привел к глубокому опьянению.			chatgpt
du1<EY)Fv>	Universal German word template	rüstig	крепкий, здоровый, бодрый							Mein Großvater ist 85 Jahre alt, aber er ist noch immer sehr rüstig und geht jeden Tag wandern.	Мой дедушка 85 лет, но он все еще очень бодр и ходит гулять каждый день.	Um im Alter rüstig zu bleiben, macht er täglich seine Gymnastikübungen.	Чтобы оставаться бодрым в старости, он занимается гимнастикой каждый день.			chatgpt
y$^>~E2HoW	Universal German word template	Rittertum	рыцарство		das	wird nur im Singular verwendet										
HPemM>F$[b	Universal German word template	Reise	"<ul><li>поездка</li><li>путешествие</li>
</ul>"		die	Reisen				Wir machen eine Reise nach Österreich.	Мы совершаем путешествие в Австрию.	Ich freue mich auf meine Reise nach Berlin.	Я радуюсь поездке в Берлин.	Möchtest du eine Reise um die Welt machen?	Хочешь совершить путешествие вокруг света?	A1 chatgpt
JkeFv.dV$[	Universal German word template	Rasen	газон		der	Rasen				Der Hund spielt gerne auf dem Rasen.	Собака любит играть на газоне.	Ich muss morgen den Rasen mähen.	Завтра мне нужно покосить газон.	Pass auf, wenn du über den Rasen rennst!	Будь осторожен, когда бежишь по газону!	chatgpt
CJL+gc=D|n	Universal German word template	rustikal	деревенский, простой, грубый							Wir genießen die rustikale Landschaft auf unserer Wanderung.	Мы наслаждаемся деревенским пейзажем во время нашего путешествия.	Die rustikale Einrichtung des Cafés schafft eine warme und einladende Atmosphäre.	Деревенский интерьер кафе создает теплую и приветливую атмосферу.			chatgpt
u,{59,sEnj	Universal German word template	Reiseführer	гид, путеводитель (книга, буклет)	"Отличие между <b class=""spoiler"">Reiseführer</b>&nbsp;и <b class=""spoiler"">Reiseleiter</b>&nbsp;заключается в том, что первое - это путеводитель в виде книги или приложения, а второе - это реальный человек, руководящий туристической группой."	der	Reiseführer				Ich kaufe mir einen Reiseführer von Berlin. Unser Reiseführer heißt Peter.		Beispiel 1: Ich lese den Reiseführer zu Italien.	Я читаю путеводитель по Италии.	Beispiel 2: Hast du einen Reiseführer für Paris?	У тебя есть путеводитель по Парижу?	A1 chatgpt
okTIXuaq14	Universal German word template	regieren	править, управлять				regiert	haben regiert	regierte	Königin Elisabeth regierte über 60 Jahre lang das Vereinigte Königreich.	Королева Елизавета правила Великобританией более 60 лет.					chatgpt
g2PV)!=dD9	Universal German word template	Rind	говядина		das	Rinder				Ich esse nur Fleisch vom Rind.	Я ем мясо только из говядины.					
J`=Mbj1,qo	Universal German word template	reklamieren	жаловаться				reklamiert	haben reklamiert	reklamierte							
MI=T:_aOZ}	Universal German word template	Rolle	<ul><li>роль</li><li>ролик, катушка</li></ul>		<div>die</div>	<div>Rollen</div>				Er spielte die Hauptrolle in dem neuen Theaterstück.	Он играл главную роль в новой пьесе.	Die Rolle des Lehrers in der Gesellschaft ist sehr wichtig.	Роль учителя в обществе очень важна.	Könntest du mir bitte eine neue Rolle Toilettenpapier geben?	Не мог бы ты, пожалуйста, передать мне новый рулон туалетной бумаги?	chatgpt
2LQIhGj1_	Universal German word template	rutschen	подвинуться, скользить, проскользнуть	Syn: gleiten, abgleiten, schieben			rutscht	sein gerutscht	rutschte	Im Winter rutschen die Kinder im Schnee den Berg herunter.	Зимой дети съезжают с горы по снегу.					
qA6|7`d4Mk	Universal German word template	Ratschlag	совет (указание, предложение)<br><ul></ul>		der	Ratschläge										
edT8]qf<I9	Universal German word template	Ring	кольцо		der	Ringe				Ich habe meinen Ring verloren.	Я потерял свое кольцо.					
yAI}kT]iwa	Universal German word template	retten	спасать<br><ul></ul>				rettet	haben gerettet	rettete	Wir verlieren zwei Flugzeuge, um 54 zu retten.	Мы потеряем 2 самолета, чтобы спасти 54.	Die Feuerwehr konnte die Menschen aus dem brennenden Haus retten.	Пожарные смогли спасти людей из горящего дома.	Er versuchte, seine Ehe zu retten, aber es war zu spät.	Он пытался спасти свой брак, но уже было слишком поздно.	chatgpt
c=xX+^.Z/%	Universal German word template	unabhängig	независимый							Unabhängig von Ihrer Entscheidung werde ich das Projekt starten.	Независимо от Вашего решения, я начну проект.	Er möchte finanziell unabhängig sein.	Он хочет быть финансово независимым.	Unabhängig vom Wetter gehen wir joggen.	Мы идем бегать, независимо от погоды.	chatgpt
wr.{(u9~3D	Universal German word template	Umsatz	"<ul><li>оборот, товарооборот</li><li>обмен</li>
</ul>"		der	Umsätze				Ich will 10 % vom Umsatz.	Я хочу 10% от оборота.	Sie generieren pro Jahr einen Umsatz von 14 Millionen $.	Их оборот составляет 14 миллионов долларов в год.			
ov[+>e%grR	Universal German word template	unscheinbar	неприметный, скромный							Der unscheinbare Mann in der Ecke war tatsächlich ein berühmter Schriftsteller.	Неприметный мужчина в углу на самом деле оказался знаменитым писателем.	In diesem unscheinbaren Restaurant wird das beste Sushi der Stadt serviert.	В этом скромном ресторане подают лучший суши в городе.			chatgpt
G/Ri6Jh&W*	Universal German word template	Umgang	взаимодействие, общение		der	Umgänge						Der Umgang mit chemischen Substanzen erfordert besondere Vorsicht.	Обращение с химическими веществами требует особой осторожности.			chatgpt
g7sbV}o{3B	Universal German word template	unterhalten	поговорить, поболтать, общаться, развлекаться				unterhält sich	hat sich unterhalten	unterhielt	Ich dachte, Sie wollen sich unterhalten.	Я думал, вы хотите поговорить.					
"s^q-.I#IPm"	Universal German word template	sich umziehen	переодеваться				zieht sich um	sein sich umgezogen	zog sich um							
svf9cmZ+h*	Universal German word template	Unterschied	различие		der	Unterschiede				Die Eltern machten keinen Unterschied zwischen ihren drei Kindern, sie behandelten sie alle gleich.	Родители не делали различий между своими тремя детьми, относились ко всем одинаково.	Die kulturellen Unterschiede können zu Missverständnissen führen.	Культурные различия могут привести к недопониманиям.	Es gibt keinen Unterschied.	Нет никакой разницы.	chatgpt
q=e@F>r=ac	Universal German word template	Urlaub	отпуск		der	Urlaube				Ich nehme im September Urlaub.	Я беру отпуск в сентябре.	Ich fahre im Sommer in den Urlaub.	Летом я еду в отпуск.	Ich brauche dringend Urlaub!	Мне срочно нужен отпуск!	A1 chatgpt
jq24R%V=Hr	Universal German word template	ungewöhnlich	необычный, необыкновенный, странный	"<ul><li><div><strong class=""spoiler"">Ungewöhnlich</strong>&nbsp;переводится как ""необычный"" и чаще всего указывает на отклонение от нормы или ожиданий, но не обязательно в негативном смысле. Это слово подчеркивает отсутствие обыденности или общепринятости в чем-то.</div></li><li><div><strong class=""spoiler"">Merkwürdig</strong>&nbsp;ближе по значению к ""замечательный"" или ""странный"". Это слово может нести более сильную эмоциональную окраску, указывая на то, что что-то вызывает удивление или недоумение из-за своей необычности.</div></li><li><div><strong class=""spoiler"">Seltsam</strong>&nbsp;переводится как ""странный"" и часто используется для описания чего-то, что не только отличается от обычного, но и кажется немного чужеродным или не соответствующим обычным ожиданиям, что может вызвать дискомфорт или недоумение.</div></li><li><strong class=""spoiler"">Eigenartig</strong>&nbsp;— также переводится как ""странно"", с близким к ""seltsam"" значением, но с акцентом на уникальность или особенность.<div></div></li><li><strong class=""spoiler"">Kurios</strong>&nbsp;— это слово часто используется для описания чего-то странного, интересного и необычного, порой в легком и забавном контексте.</li><li><strong class=""spoiler"">Befremdlich</strong>&nbsp;— указывает на то, что что-то вызывает чувство дискомфорта или чуждости.</li><li><strong class=""spoiler"">Skurril</strong>&nbsp;— обычно описывает крайне необычные, эксцентричные и причудливые ситуации или объекты.<br></li></ul>"						Das ist ein ungewöhnliches Phänomen.	Это необычное явление.	Sein Verhalten war sehr ungewöhnlich.	Его поведение было очень необычным.	Das Gebäude hat eine ungewöhnliche Architektur.	У здания необычная архитектура.	chatgpt
kCa@>sO()2	Universal German word template	unterrichten	учить (преподавать)				unterrichtet	haben unterrichtet	unterrichtete							
m:SyONu|N/	Universal German word template	unterbrechen	"<ul><li>перебивать</li><li>прерывать</li>
</ul>"				unterbricht	haben unterbrochen	unterbrach	Ich möchte dich nicht unterbrechen, aber ich habe eine wichtige Nachricht.	Я не хочу тебя перебивать, но у меня есть важное сообщение.	Die Produktion musste aufgrund von technischen Problemen unterbrochen werden.	Производство пришлось приостановить из-за технических проблем.			chatgpt
A&Ef@!UvIu	Universal German word template	unbefahrbar	непроходимый							Nach dem heftigen Schneesturm ist die Straße komplett unbefahrbar.	После сильного снегопада дорога полностью стала непроездной.					chatgpt
FEA*4W|JPp	Universal German word template	unterirdisch	подземный							Das unterirdische Parkhaus bietet Platz für 300 Autos.	Подземная парковка вмещает 300 машин.					chatgpt
efPF|En)R-	Universal German word template	unverbindlich	нестрого, необязательно, непринужденно, неформально							Du kannst dir unser Angebot unverbindlich anschauen.	Ты можешь без обязательств посмотреть наше предложение.	Die Teilnahme am Kurs ist unverbindlich und kostenlos.	Участие в курсе необязательно и бесплатно.			chatgpt
AJK}(Df}8b	Universal German word template	ungefähr	около, приблизительно	"Syn: circa, etwa<p>&nbsp;•	“Ungefähr” часто используется в разговорной речи и подходит для обозначения приблизительного количества или времени: “Das kostet ungefähr 100 Euro.”</p><p>&nbsp;•	“Etwa” также распространенно в устной речи и может использоваться почти так же, как и “ungefähr”: “Er ist etwa 40 Jahre alt.”</p><p>&nbsp;•	“Circa”, сокращенно “ca.”, часто встречается в письменной форме, особенно в научных или технических текстах, и перед числами: “Das Gebäude ist ca. 200 Jahre alt.</p>"												
nD^F0w7s=F	Universal German word template	Umfrage	опрос, анкета		die	Umfragen				Laut der jüngsten Umfrage sind 60% der Bevölkerung für die Gesetzesänderung.	Согласно последнему опросу, 60% населения поддерживают изменение законодательства.	Die Umfrage ergab, dass die meisten Jugendlichen ihr Smartphone über fünf Stunden am Tag nutzen.	Опрос показал, что большинство подростков используют свой смартфон более пяти часов в день.	Wir führen eine Umfrage unter Kunden durch, um die Zufriedenheit mit unseren Produkten zu messen.	Мы проводим опрос среди клиентов, чтобы измерить удовлетворенность нашими продуктами.	chatgpt
cj6Nv}E`[O	Universal German word template	Ursache	причина, основание, повод		die	Ursachen				Die Ursache für den Unfall war Glatteis.	Причиной аварии был гололед.	Eine unbekannte Ursache hat zu dem Stromausfall geführt.	Неизвестная причина привела к отключению электричества.	Sie suchten nach der Ursache für die Verzögerung des Projekts.	Они искали причину задержки проекта.	chatgpt
iU.X5w6]]m	Universal German word template	umziehen	"<ul><li>переезжать</li><li>переодеваться</li><li>(редко) оборачивать, окружать</li>
</ul>"				"<ul><li>zieht um – переезжать, переодеваться</li><li>umzieht – оборачивать, окружать</li>
</ul>"	"<ul><li>sein umgezogen – переезжать, переодеваться</li><li>haben umzogen – оборачивать, окружать</li>
</ul>"	"<ul><li>zog um – переезжать, переодеваться</li><li>umzog – оборачивать, окружать</li>
</ul>"	Wir ziehen nächste Woche um.	Мы переезжаем на следующей неделе.	Ich muss mich umziehen.	Мне нужно переодеться.			A1 chatgpt
"n_!<]mS#uU"	Universal German word template	Union	союз, объединение		die	Unionen										chatgpt
cU2$%CqduQ	Universal German word template	unterstützen	<ul><li>поддерживать, помогать, содействовать, способствовать</li><li>финансировать</li></ul>				unterstützt	haben unterstützt	unterstützte	Ich werde dich bei deinem Projekt unterstützen.	Я буду поддерживать тебя в твоем проекте.	Diese Software kann die Arbeitsprozesse effektiv unterstützen.	Это программное обеспечение может эффективно помогать в рабочих процессах.	Viele Menschen unterstützen die Hilfsorganisation mit Spenden.	Многие люди поддерживают благотворительную организацию пожертвованиями.	chatgpt
OM];k{C}ZF	Universal German word template	um	вокруг, около, у (предлог)							Er kommt um sieben Uhr.	Он придёт в семь часов.	Wir gehen um das Haus.	Мы идем вокруг дома.	Ich gehe um 8 Uhr schlafen.	Я иду спать в 8 часов.	A1 chatgpt
jH`87c*jw-	Universal German word template	Umgebung	окрестность, прилегающая территория, среда							Die Umgebung dieses Ortes ist sehr malerisch.	Окрестности этого места очень живописны.	Er ist in dieser Umgebung aufgewachsen.	Он вырос в этой среде.			chatgpt
s:axu@/O]t	Universal German word template	ungestört	беспрепятственно							Ich möchte ungestört arbeiten.	Я хочу работать без помех.	Das Kind spielt ungestört im Garten.	Ребенок беспрепятственно играет в саду.	Wir haben uns ungestört unterhalten.	Мы спокойно болтали.	chatgpt
IFLQ,GN/HH	Universal German word template	umsetzen	<ul><li>реализовывать, претворять в жизнь</li><li>переставлять, переводить</li></ul>				setzt um	haben umgesetzt	setzte um	Die Firma will ihre neue Geschäftsstrategie schnell umsetzen.	Компания хочет быстро реализовать свою новую бизнес-стратегию.	Er konnte die Anweisungen nicht richtig umsetzen.	Он не смог правильно выполнить инструкции.	Wir müssen den Baum umsetzen, da er zu nah am Haus wächst.	Нам нужно пересадить дерево, так как оно растет слишком близко к дому.	chatgpt
"fTKyR#$|%;"	Universal German word template	ungewiss&nbsp;	неясно, неопределенно&nbsp;							Die Zukunft ist ungewiss, aber ich hoffe auf das Beste.	Будущее неясно, но я надеюсь на лучшее.					
P2{-?rW,_y	Universal German word template	und	и (союз)							Peter und Helmut sind meine Söhne.	Петер и Хельмут мои сыновья.	Ich habe einen Hund und eine Katze.	У меня есть собака и кот.	Ich trinke Wasser und esse Brot.	Я пью воду и ем хлеб.	A1 chatgpt
